 Time Control                                                Count 
[Event "Rated Classical game"] [TimeControl "720+16"]        1
[Event "Rated Classical game"] [TimeControl "720+17"]        1
[Event "Rated Classical game"] [TimeControl "720+18"]        3
[Event "Rated Classical game"] [TimeControl "720+19"]        1
[Event "Rated Classical game"] [TimeControl "720+20"]        19
[Event "Rated Classical game"] [TimeControl "720+25"]        20
[Event "Rated Classical game"] [TimeControl "720+30"]        37
[Event "Rated Classical game"] [TimeControl "720+35"]        2
[Event "Rated Classical game"] [TimeControl "720+40"]        3
[Event "Rated Classical game"] [TimeControl "720+180"]       5
[Event "Rated Classical game"] [TimeControl "780+0"]         2771
[Event "Rated Classical game"] [TimeControl "780+1"]         260
[Event "Rated Classical game"] [TimeControl "780+2"]         295
[Event "Rated Classical game"] [TimeControl "780+3"]         462
[Event "Rated Classical game"] [TimeControl "780+4"]         317
